iter	Passed	Remaining
404	7931	11652
405	7952	11635
406	7961	11599
407	7980	11579
408	8002	11563
409	8018	11539
410	8039	11521
411	8053	11493
412	8068	11468
413	8088	11448
414	8109	11431
415	8120	11399
416	8143	11384
417	8162	11365
418	8183	11347
419	8204	11329
420	8215	11299
421	8238	11283
422	8262	11270
423	8284	11255
424	8306	11238
425	8327	11220
426	8363	11223
427	8393	11217
428	8423	11211
429	8432	11177
430	8456	11164
431	8478	11147
432	8498	11127
433	8508	11096
434	8531	11081
435	8555	11066
436	8564	11033
437	8589	11020
438	8609	11002
439	8625	10978
440	8633	10943
441	8648	10918
442	8672	10904
443	8693	10887
444	8715	10870
445	8737	10853
446	8762	10839
447	8769	10804
448	8794	10792
449	8818	10777
450	8841	10763
451	8848	10727
452	8867	10707
453	8886	10687
454	8908	10670
455	8928	10651
456	8944	10627
457	8950	10591
458	8969	10572
459	8996	10561
460	9037	10566
461	9067	10559
462	9094	10547
463	9114	10529
464	9139	10515
465	9163	10501
466	9175	10472
467	9197	10455
468	9221	10440
469	9243	10423
470	9263	10404
471	9283	10385
472	9306	10368
473	9330	10353
474	9337	10320
475	9350	10293
476	9359	10261
477	9380	10243
478	9390	10214
479	9409	10193
480	9431	10176
481	9454	10160
482	9475	10142
483	9497	10125
484	9506	10094
485	9527	10076
486	9548	10057
487	9569	10040
488	9590	10022
489	9605	9997
490	9630	9983
491	9637	9950
492	9645	9919
493	9666	9901
494	9697	9893
495	9728	9885
496	9764	9882
497	9773	9851
498	9789	9828
499	9809	9809
500	9829	9789
501	9841	9762
502	9863	9745
503	9887	9730
504	9898	9702
505	9911	9676
506	9923	9649
507	9945	9631
508	9968	9615
509	9977	9586
510	9998	9568
511	10022	9553
512	10031	9523
513	10053	9505
514	10075	9488
515	10100	9474
516	10125	9459
517	10137	9432
518	10161	9417
519	10183	9400
520	10204	9381
521	10211	9350
522	10230	9330
523	10237	9299
524	10257	9280
525	10268	9253
526	10290	9236
527	10302	9209
528	10320	9188
529	10341	9170
530	10363	9153
531	10385	9136
532	10393	9106
533	10402	9077
534	10414	9051
535	10435	9033
536	10457	9016
537	10476	8996
538	10486	8968
539	10510	8953
540	10534	8937
541	10556	8920
542	10578	8902
543	10599	8884
544	10621	8867
545	10633	8841
546	10658	8826
547	10680	8809
548	10691	8783
549	10698	8753
550	10722	8737
551	10742	8718
552	10764	8701
553	10784	8682
554	10796	8656
555	10818	8639
556	10829	8613
557	10852	8596
558	10860	8568
559	10871	8541
560	10892	8523
561	10913	8505
562	10933	8486
563	10957	8470
564	10976	8450
565	10994	8430
566	11014	8411
567	11036	8394
568	11055	8373
569	11062	8345
570	11081	8325
571	11095	8302
572	11118	8285
573	11134	8263
574	11144	8237
575	11156	8212
576	11179	8195
577	11193	8172
578	11205	8147
579	11226	8129
580	11245	8110
581	11266	8091
582	11285	8072
583	11307	8054
584	11327	8035
585	11347	8016
586	11366	7997
587	11388	7979
588	11408	7960
589	11430	7943
590	11441	7918
591	11462	7899
592	11481	7879
593	11491	7854
594	11512	7836
595	11534	7818
596	11551	7797
597	11559	7770
598	11582	7753
599	11593	7728
600	11610	7708
601	11623	7684
602	11635	7660
603	11646	7635
604	11669	7619
605	11689	7600
606	11701	7576
607	11708	7549
608	11722	7526
609	11742	7507
610	11753	7483
611	11776	7466
612	11788	7442
613	11808	7423
614	11830	7406
615	11847	7385
